자치구명,관리번호,도로(가로)명,설치위치,           설치지점,     수거 쓰레기 종류,              형태,설치시기
광진구,47,아차산로 426,구 법원앞 (구의역 3번출구),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2022
광진구,48,아차산로 511,현대9차아파트 정류장,"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2021
광진구,49,아차산로 511,현대9차아파트 정류장,"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2021
광진구,50,아차산로 522,현대8차아파트 정류장,"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2021
광진구,51,아차산로 552,극동아파트 정류장,"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2017
광진구,52,아차산로 552,극동아파트 정류장,"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2021
광진구,53,아차산로 592,청소년수련관 정류장,"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2022
광진구,54,아차산로 592,청소년수련관 정류장,"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2021
광진구,55,아차산로 613,강평주유소맞은편 (카페테이블스),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2020
광진구,56,아차산로78길 10,워커힐푸르지오 버스정류장,"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2021
광진구,57,용마산로 147,중곡동 119안전센터 맞은편 정류장,"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2020
광진구,58,용마산로 49,21세기약국,③ 도로(가로)변,일반 사각 쓰레기통,일반쓰레기,2020
광진구,59,용마산로 49,21세기약국,③ 도로(가로)변,일반 사각 쓰레기통,재활용쓰레기,2020
광진구,60,자양로,자양로18길 53(편의점 앞),④ 광장 등 다중집합장소,담배꽁초 수거함,일반쓰레기,2018
광진구,61,자양로,자양로18길 78(공영주차장 앞),④ 광장 등 다중집합장소,담배꽁초 수거함,일반쓰레기,2018
광진구,62,자양로,자양로18길 96(대양참치 앞),④ 광장 등 다중집합장소,담배꽁초 수거함,일반쓰레기,2018
광진구,63,자양로 102,자양사거리(미가로 입구),③ 도로(가로)변,일반 사각 쓰레기통,일반쓰레기,2019
광진구,64,자양로 102,자양사거리(미가로 입구),③ 도로(가로)변,일반 사각 쓰레기통,재활용쓰레기,2019
광진구,65,자양로 106,구의1동 미가로 상징물 앞(자양로18길),④ 광장 등 다중집합장소,기타(텀블러형 등),일반쓰레기,2019
광진구,66,자양로 106,구의1동 미가로 상징물 앞(자양로18길),④ 광장 등 다중집합장소,기타(텀블러형 등),재활용쓰레기,2019
광진구,67,자양로 166,광진경찰서 맞은편,"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2019
광진구,68,자양로 166,광진경찰서 맞은편,"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2019
광진구,69,자양로 48,잠실대교북단교차로(아이본 동물병원 맞은편),③ 도로(가로)변,일반 사각 쓰레기통,일반쓰레기,2017
광진구,70,자양로 53,잠실대교북단 정류장(자양아파트앞),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2017
광진구,71,자양로 777,광진구청 앞,④ 광장 등 다중집합장소,일반 사각 쓰레기통,일반쓰레기,2019
광진구,72,자양로 777,광진구청 앞,④ 광장 등 다중집합장소,일반 사각 쓰레기통,재활용쓰레기,2019
광진구,73,자양로 95,자양사거리(신한은행앞),③ 도로(가로)변,일반 사각 쓰레기통,일반쓰레기,2019
광진구,74,자양로 95,자양사거리(신한은행앞),③ 도로(가로)변,일반 사각 쓰레기통,재활용쓰레기,2019
광진구,75,자양번영로 34,신자초교입구 사거리(이디아커피 앞),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2017
광진구,76,천호대로,아차산역 버스정류장(하행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2021
광진구,77,천호대로,아차산역 버스정류장(상행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2021
광진구,78,천호대로,중곡동입구 버스정류장(하행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2021
광진구,79,천호대로,용마초 버스정류장(상행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2021
광진구,80,천호대로,용마초 버스정류장(하행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2021
광진구,81,천호대로,군자교입구 버스정류장(하행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2021
광진구,82,천호대로,군자교입구 버스정류장(상행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2021
광진구,83,천호대로,광나루역 버스정류장(상행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2021
광진구,84,천호대로,광나루역 버스정류장(하행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2021
광진구,85,천호대로,새밭교회 버스정류장(상행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2021
광진구,86,천호대로,새밭교회 버스정류장(하행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,일반쓰레기,2021
광진구,87,천호대로,아차산역 버스정류장(하행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2021
광진구,88,천호대로,아차산역 버스정류장(상행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2021
광진구,89,천호대로,중곡동입구 버스정류장(상행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2021
광진구,90,천호대로,중곡동입구 버스정류장(하행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2021
광진구,91,천호대로,용마초 버스정류장(상행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2021
광진구,92,천호대로,용마초 버스정류장(하행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2021
광진구,93,천호대로,군자교입구 버스정류장(하행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2021
광진구,94,천호대로,군자교입구 버스정류장(상행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2021
광진구,95,천호대로,광나루역 버스정류장(상행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2021
광진구,96,천호대로,광나루역 버스정류장(하행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2021
광진구,97,천호대로,새밭교회 버스정류장(상행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2021
광진구,98,천호대로,새밭교회 버스정류장(하행),"① 정류장(버스, 택시 등)",일반 사각 쓰레기통,재활용쓰레기,2021
광진구,99,천호대로 556,군자역 5번출구(다이소 앞),② 지하철역 입구,일반 사각 쓰레기통,일반쓰레기,2020
광진구,100,천호대로 556,군자역 5번출구(다이소 앞),② 지하철역 입구,일반 사각 쓰레기통,재활용쓰레기,2020
광진구,101,천호대로 682,아차산역 사거리 - 짬뽕지존 앞,③ 도로(가로)변,일반 사각 쓰레기통,일반쓰레기,2020
광진구,102,천호대로137길 10,오렌지팩토리 앞,③ 도로(가로)변,일반 사각 쓰레기통,일반쓰레기,2020
