楷飞,堡柳备,吝邦力1悼,吝邦力2悼,吝邦力3悼,吝邦力4悼,瓷悼,备狼力1悼,备狼力2悼,备狼力3悼,堡厘悼,磊剧力1悼,磊剧力2悼,磊剧力3悼,磊剧力4悼,拳剧悼,焙磊悼,单捞磐扁霖老磊
70技,2990,148,197,150,315,82,171,255,241,231,182,240,236,245,122,175,2023-12-31
71技,3353,129,247,190,349,94,187,269,269,231,233,308,249,258,137,203,2023-12-31
72技,2161,95,132,127,232,58,126,195,196,156,143,164,171,172,92,102,2023-12-31
73技,2445,135,161,133,255,80,152,222,173,177,153,183,205,177,101,138,2023-12-31
74技,2333,96,167,149,228,79,173,190,200,148,155,161,174,185,113,115,2023-12-31
75技,2487,124,173,140,268,82,174,220,181,139,181,179,187,176,104,159,2023-12-31
76技,2485,136,156,139,267,91,132,231,194,137,168,199,169,206,104,156,2023-12-31
77技,1946,106,128,111,189,59,136,179,149,136,128,127,135,145,102,116,2023-12-31
78技,1656,81,110,93,174,45,100,148,135,99,128,130,139,98,75,101,2023-12-31
79技,1715,96,110,112,168,63,99,137,123,118,114,138,128,113,79,117,2023-12-31
80技,1642,86,91,92,169,42,110,123,136,119,123,135,117,105,73,121,2023-12-31
81技,1814,73,119,99,191,65,111,162,140,124,135,117,142,145,87,104,2023-12-31
82技,1496,86,104,78,144,51,97,111,106,113,117,104,118,104,64,99,2023-12-31
83技,1234,53,64,78,95,45,96,109,96,94,99,74,109,95,46,81,2023-12-31
84技,1176,71,63,58,122,50,74,91,93,101,73,85,92,93,51,59,2023-12-31
85技,983,47,53,61,86,33,53,86,92,89,62,65,89,51,56,60,2023-12-31
86技,819,32,44,40,73,17,71,65,53,94,53,58,87,45,45,42,2023-12-31
87技,674,20,36,34,64,17,35,64,61,69,52,37,56,54,31,44,2023-12-31
88技,603,19,23,30,48,14,35,55,54,63,38,36,80,48,29,31,2023-12-31
89技,487,18,22,11,43,11,22,44,52,47,29,34,66,39,16,33,2023-12-31
90技,350,20,18,17,31,8,22,28,36,36,17,20,51,20,10,16,2023-12-31
91技,290,16,17,8,21,5,22,20,23,35,15,24,36,16,14,18,2023-12-31
92技,209,9,7,10,17,7,17,18,22,18,13,19,27,14,7,4,2023-12-31
93技,151,6,6,5,12,5,9,9,13,26,9,9,20,9,7,6,2023-12-31
94技,135,8,7,3,11,2,8,6,14,17,15,8,14,11,5,6,2023-12-31
95技,97,3,6,5,6,4,6,3,11,14,7,10,8,5,6,3,2023-12-31
96技,84,2,6,6,12,1,1,4,5,14,3,4,10,6,5,5,2023-12-31
97技,34,3,1,1,3,0,4,4,2,4,2,3,3,2,1,1,2023-12-31
98技,33,1,1,2,1,1,1,1,5,5,2,3,5,1,2,2,2023-12-31
99技,30,0,1,0,1,0,2,4,3,3,0,6,4,1,1,4,2023-12-31
100技,13,2,3,0,1,1,1,2,0,0,0,1,1,1,0,0,2023-12-31
101技,12,0,0,0,1,0,0,2,1,2,1,0,4,0,0,1,2023-12-31
102技,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2023-12-31
103技,4,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,2023-12-31
104技,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2023-12-31
105技,4,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2023-12-31
106技,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023-12-31
107技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-31
108技,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-12-31
109技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-12-31
110技 捞惑,4,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2023-12-31
